payment_id,order_id,method,status,amount,currency,fee,tax,net_amount,created_at,captured_at,merchant_name,customer_email,rrn,settlement_id,notes
pay_9Y7R2tagT40DF1,order_dnaviodBfMg1bA,upi,captured,₹50814.06,INR,₹1214.84,218.67,49380.55,2026-07-27 15:01:31,2026-07-27 15:01:33,MYNTRA DESIGNS,pkytogrf@example.com,297444888107,setl_mr3zOXuEYTiKsn,
pay_XNyyuYV5yso8Hr,order_iL2FYjnVfB7Xu8,card,captured,"3,499.00",INR,₹70.07,₹12.61,3416.32,2026-07-30 06:24:08,2026-07-30 06:24:10,INNOVATIVE RETAIL CONCEPTS,,855354150095,setl_9k3YYoLXNYYQrM,
pay_zqSQ4xOQsCzXHD,order_Rw48itnEoKnBdz,upi,captured,399.00,INR,9.31,₹1.68,388.01,2026-08-19 09:41:18,2026-08-19 09:41:20,FLIPKART INTERNET,,387887763983,setl_40dw0BJj6wPvfa,
pay_JWQ8rbtEts2k0j,,wallet,authorized,₹28786.45,INR,0.00,0.00,0.00,2026-08-20 19:40:31,,ZOMATO LIMITED,,,,
pay_aDhdBM3RdqbIGx,order_rnWbuE8cr61R7p,upi,captured,₹999.0,INR,₹23.39,4.21,971.40,2026-08-03 10:29:07,2026-08-03 10:29:09,CUREFIT HEALTHCARE,nkvmecfr@example.com,740017164253,setl_qeAcKIa1oIDuvc,
pay_haTEckCrjvD46n,order_KQTah57ZSG7nnM,card,captured,₹7086.81,INR,150.75,27.13,6908.93,2026-08-14 09:20:56,2026-08-14 09:20:58,MAKEMYTRIP INDIA,wgjybvxk@example.com,723670975656,setl_JV4RSuX0Znoaa9,
pay_u10FUmDuwagMXJ,order_eYUlB5G95UKeLH,card,captured,749.00,INR,18.38,3.31,727.31,2026-08-06 01:18:05,2026-08-06 01:18:07,THREPSI SOLUTIONS,vsobecit@example.com,947849562367,setl_D8RouEgHHeZkSA,
pay_3cvj6M0zpypRxR,order_7PwDYkFyywmfym,wallet,captured,"3,499.00",INR,79.60,14.33,"3,405.07",2026-07-25 08:06:36,2026-07-25 08:06:38,FSN E-COMMERCE,hcmjzgjh@example.com,870893341605,setl_k60L7HpnslX3Vz,
pay_2fkaPv4u3XyoGY,order_Zhst8d1ioqPBOF,wallet,captured,160.84,INR,3.30,0.59,156.95,2026-08-14 07:15:37,2026-08-14 07:15:39,DELIGHTFUL GOURMET,,656337620282,,
pay_kqVQsAnvH3FzMp,order_Co0BYK3MwHbRe8,upi,captured,15356.13,INR,370.74,66.73,14918.66,2026-08-13 07:02:10,2026-08-13 07:02:12,MAKEMYTRIP INDIA,quusfyjn@example.com,,setl_8C7KirPK6RYqjL,
pay_s2v9vasCvv5M4c,order_nRC9Ex20y17wtK,card,captured,225.08,INR,,,,2026-08-14 13:58:44,2026-08-14 13:58:46,THREPSI SOLUTIONS,,933160107816,setl_b3hvycdQZMkQ98,
pay_m8OYPENGvx1Jbo,order_2JlAOgSbW0y7zB,card,captured,₹9999.0,INR,,,,2026-08-14 18:43:00,2026-08-14 18:43:02,BUNDL TECHNOLOGIES,tcotempl@example.com,385285936986,setl_8BDatLn6ZyUFfu,
pay_dmlpDvFMtPO16N,order_bWBNG2hjsJou5w,upi,captured,1367.82,INR,30.32,5.46,"1,332.04",2026-07-29 13:10:54,2026-07-29 13:10:56,BUNDL TECHNOLOGIES,qvrmmuay@example.com,416417599263,setl_x6TcL0zdala9QG,
pay_xe3L28TCPDCFHm,order_Pu8AzvHep8PaOL,upi,captured,₹6836.36,INR,152.80,₹27.5,"6,656.06",2026-08-15 09:04:43,,MAKEMYTRIP INDIA,nbelvyig@example.com,,setl_XG6Fkn5ZZJixWf,
pay_sok2k3gjEaFLku,order_vjhi5tUWfWYG7b,upi,captured,₹300.59,INR,6.54,1.18,292.87,2026-07-24 17:54:09,2026-07-24 17:54:11,URBAN COMPANY,lxvnramc@example.com,662151063752,setl_4lDLLswsLA0INP,
pay_o6tLIPJjS9TY8f,order_Oec3IUng5xiqil,upi,captured,₹2833.28,INR,68.37,12.31,₹2752.6,2026-07-24 16:13:08,2026-07-24 16:13:10,FLIPKART INTERNET,oxlwpiqy@example.com,804549259878,setl_Xd3Mw3YEpIf2U7,
pay_eDL1b6119FnS4z,order_X4wcmB73sCZrE1,upi,captured,₹1299.0,INR,28.01,₹5.04,"1,265.95",2026-07-29 07:05:41,,AMAZON RETAIL,hrzbgprq@example.com,691855183921,setl_yPSuCgBUfEyH2S,
pay_vko85HCa63hTgI,order_NFt0RgHYsJZwye,netbanking,captured,₹5281.89,INR,,,,2026-08-20 12:31:27,2026-08-20 12:31:29,BUNDL TECHNOLOGIES,,386712035514,setl_GCHj975T5wJPgY,
